Question,Answer
"How often do you have trouble wrapping up the final details of a project, once the challenging parts have been done?",['Never']
How often do you have difficulty getting things in order when you have to do a task that requires organisation?,['Sometimes']
How often do you have problems remembering appointments or obligations?,['Sometimes']
"When you have a task that requires a lot of thought, how often do you avoid or delay getting started?",['Sometimes']
How often do you fidget or squirm with your hands or feet when you have to sit down for a long time?,['Sometimes']
"How often do you feel overly active and compelled to do things, like you were driven by a motor?",['Sometimes']
How often do you make careless mistakes when you have to work on a boring or difficult project?,['Sometimes']
How often do you have difficulty keeping your attention when you are doing boring or repetitive work?,['Sometimes']
"How often do you have difficulty concentrating on what people say to you, even when they are speaking to you directly?",['Sometimes']
How often do you misplace or have difficulty finding things at home or at work?,['Sometimes']
How often are you distracted by activity or noise around you?,['Sometimes']
How often do you leave your seat in meetings or other situations in which you are expected to remain seated?,['Sometimes']
How often do you feel restless or fidgety?,['Sometimes']
How often do you have difficulty unwinding and relaxing when you have time to yourself?,['Sometimes']
How often do you find yourself talking too much when you are in social situations?,['Very Often']
"When youâ€™re in a conversation, how often do you find yourself finishing the sentences of the people you are talking to, before they can finish them themselves?",['Sometimes']
How often do you have difficulty waiting your turn in situations when turn taking is required?,['Sometimes']
How often do you interrupt others when they are busy?,['Very Often']
